,Country_Region,Confirmed,Deaths,Recovered,Date
4005,United Kingdom,895597,11471,,28/01/2023
3981,United Kingdom,2324,8,,28/01/2022
3982,United Kingdom,10552,116,,28/01/2022
3983,United Kingdom,5839,49,,28/01/2022
3984,United Kingdom,13788,15,,28/01/2022
3985,United Kingdom,0,0,,28/01/2022
3986,United Kingdom,13895065,156379,,28/01/2022
3987,United Kingdom,89,0,,28/01/2022
3988,United Kingdom,12610,100,,28/01/2022
3989,United Kingdom,21376,71,,28/01/2022
3990,United Kingdom,162,1,,28/01/2022
3991,United Kingdom,527460,4205,,28/01/2022
3992,United Kingdom,4,0,,28/01/2022
3993,United Kingdom,1139939,13063,,28/01/2022
3994,United Kingdom,5692,34,,28/01/2022
3995,United Kingdom,0,267,,28/01/2022
3996,United Kingdom,771516,9615,,28/01/2022
4008,United Kingdom,29542,99,0,28/01/2022
4009,United Kingdom,10994,30,0,28/01/2022
4015,United Kingdom,0,0,0,28/01/2022
3954,United Kingdom,16,0,15,28/01/2021
3955,United Kingdom,690,12,650,28/01/2021
3956,United Kingdom,114,1,95,28/01/2021
3957,United Kingdom,385,2,356,28/01/2021
3958,United Kingdom,0,0,3227,28/01/2021
3959,United Kingdom,3274397,110434,0,28/01/2021
3960,United Kingdom,41,0,34,28/01/2021
3961,United Kingdom,4082,70,3530,28/01/2021
3962,United Kingdom,432,25,379,28/01/2021
3963,United Kingdom,13,1,12,28/01/2021
3964,United Kingdom,102410,2504,0,28/01/2021
3965,United Kingdom,4,0,4,28/01/2021
3966,United Kingdom,176533,8464,0,28/01/2021
3967,United Kingdom,1387,8,1051,28/01/2021
3968,United Kingdom,0,137,0,28/01/2021
3969,United Kingdom,190394,6862,0,28/01/2021
4006,United Kingdom,3130,63,0,28/01/2021
4007,United Kingdom,391,16,0,28/01/2021
4013,United Kingdom,0,0,0,28/01/2021
3987,United Kingdom,3904,12,,27/01/2023
3988,United Kingdom,18766,157,,27/01/2023
3989,United Kingdom,7305,64,,27/01/2023
3990,United Kingdom,31472,37,,27/01/2023
3991,United Kingdom,0,0,,27/01/2023
3992,United Kingdom,20517193,185359,,27/01/2023
3993,United Kingdom,1930,0,,27/01/2023
3994,United Kingdom,20399,111,,27/01/2023
3995,United Kingdom,34715,66,,27/01/2023
3996,United Kingdom,38008,116,,27/01/2023
3997,United Kingdom,66259,155,,27/01/2023
3998,United Kingdom,1403,8,,27/01/2023
3999,United Kingdom,713294,5139,,27/01/2023
4000,United Kingdom,4,0,,27/01/2023
4001,United Kingdom,2166,0,,27/01/2023
4002,United Kingdom,2148273,16736,,27/01/2023
4003,United Kingdom,6522,38,,27/01/2023
4004,United Kingdom,0,336,,27/01/2023
4005,United Kingdom,895597,11465,,27/01/2023
3981,United Kingdom,2270,7,,27/01/2022
3982,United Kingdom,10552,116,,27/01/2022
3983,United Kingdom,5809,49,,27/01/2022
3984,United Kingdom,13734,15,,27/01/2022
3985,United Kingdom,0,0,,27/01/2022
3986,United Kingdom,13817017,156216,,27/01/2022
3987,United Kingdom,89,0,,27/01/2022
3988,United Kingdom,12441,100,,27/01/2022
3989,United Kingdom,21292,70,,27/01/2022
3990,United Kingdom,161,1,,27/01/2022
3991,United Kingdom,523722,4201,,27/01/2022
3992,United Kingdom,4,0,,27/01/2022
3993,United Kingdom,1135991,13042,,27/01/2022
3994,United Kingdom,5678,34,,27/01/2022
3995,United Kingdom,0,267,,27/01/2022
3996,United Kingdom,768744,9601,,27/01/2022
4008,United Kingdom,29187,99,0,27/01/2022
4009,United Kingdom,10921,30,0,27/01/2022
4015,United Kingdom,0,0,0,27/01/2022
3954,United Kingdom,16,0,15,27/01/2021
3955,United Kingdom,689,12,648,27/01/2021
3956,United Kingdom,114,1,95,27/01/2021
3957,United Kingdom,384,2,356,27/01/2021
3958,United Kingdom,0,0,3227,27/01/2021
3959,United Kingdom,3248215,109324,0,27/01/2021
3960,United Kingdom,41,0,34,27/01/2021
3961,United Kingdom,4057,70,3462,27/01/2021
3962,United Kingdom,432,25,377,27/01/2021
3963,United Kingdom,13,1,12,27/01/2021
3964,United Kingdom,101818,2485,0,27/01/2021
3965,United Kingdom,4,0,4,27/01/2021
3966,United Kingdom,175332,8413,0,27/01/2021
3967,United Kingdom,1312,8,1020,27/01/2021
3968,United Kingdom,0,137,0,27/01/2021
